protocol,pathway,test,sample,time_s,kc_class,d,n,D,N,weight
fig7_reversal,da_only,1,start,300.0,a_only,0.9864314409877991,0.0,0.9858671509918503,0.0,0.014132849008149706
fig7_reversal,da_only,1,start,300.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,1,start,300.0,shared,0.9864314409877991,0.0,0.9858671509918503,0.0,0.014132849008149706
fig7_reversal,da_only,1,start,300.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,1,last_30s_start,330.0,a_only,0.9864314409877991,0.0,0.9862238502994308,0.0,0.013776149700569174
fig7_reversal,da_only,1,last_30s_start,330.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,1,last_30s_start,330.0,shared,0.9864314409877991,0.0,0.9862238502994308,0.0,0.013776149700569174
fig7_reversal,da_only,1,last_30s_start,330.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,1,end,360.0,a_only,0.9864314409877991,0.0,0.9863550726413697,0.0,0.013644927358630321
fig7_reversal,da_only,1,end,360.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,1,end,360.0,shared,0.9864314409877991,0.0,0.9863550726413697,0.0,0.013644927358630321
fig7_reversal,da_only,1,end,360.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,2,start,900.0,a_only,0.9999975019496742,0.0,0.9999973954909497,0.0,2.6045090503190593e-06
fig7_reversal,da_only,2,start,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,2,start,900.0,shared,0.9999975019496742,0.0,0.9999973954909497,0.0,2.6045090503190593e-06
fig7_reversal,da_only,2,start,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,2,last_30s_start,930.0,a_only,0.9999975019496742,0.0,0.9999974627856981,0.0,2.5372143018786986e-06
fig7_reversal,da_only,2,last_30s_start,930.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,2,last_30s_start,930.0,shared,0.9999975019496742,0.0,0.9999974627856981,0.0,2.5372143018786986e-06
fig7_reversal,da_only,2,last_30s_start,930.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,2,end,960.0,a_only,0.9999975019496742,0.0,0.9999974875420525,0.0,2.5124579474677944e-06
fig7_reversal,da_only,2,end,960.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,da_only,2,end,960.0,shared,0.9999975019496742,0.0,0.9999974875420525,0.0,2.5124579474677944e-06
fig7_reversal,da_only,2,end,960.0,neither,0.0,0.0,0.0,0.0,1.0
