body_id,graph_index,type,instance,kc_family,home_eligible_edges,away_eligible_edges,raw_events_across_32_histories,weighted_event_mass_across_32_histories,minimum_recorded_susceptibility,original_home_gain_sum_across_32_histories,candidate_home_gain_sum_across_32_histories
43980,30344,KCg-m,KCg-m_R,gamma,1,2,61,58.20822366804987,0.0,0.007356524467468262,0.0017908811569213867
44024,30384,KCg-m,KCg-m_R,gamma,1,2,20,19.029174078259494,0.0,0.00880056619644165,0.006986379623413086
44035,30394,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,21,20.986360870339986,0.6720447947345117,-0.0059105753898620605,-0.00592803955078125
44054,30411,KCg-m,KCg-m_R,gamma,1,2,60,58.68373016609781,0.0,-0.0016068220138549805,-0.0035920143127441406
44069,30424,KCg-d,KCg-d_L,gamma,1,2,0,0.0,1.0,0.0,0.0
44082,30436,KCg-m,KCg-m_R,gamma,1,2,37,35.65072912558302,0.0,-0.0024192333221435547,-0.0046225786209106445
44179,30517,KCa'b'-ap2,KCa'b'-ap2_R,apbp,0,0,0,0.0,1.0,0.0,0.0
44260,30590,KCg-m,KCg-m_L,gamma,1,2,63,62.18300715392026,0.0,-0.006441771984100342,-0.0074613094329833984
44314,30642,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,0,0.0,1.0,0.0,0.0
44485,30793,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
44551,30849,KCa'b'-ap2,KCa'b'-ap2_L,apbp,1,0,0,0.0,1.0,0.0,0.0
44557,30853,KCa'b'-m,KCa'b'-m_R,apbp,1,0,0,0.0,1.0,0.0,0.0
44647,30932,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,3,3.0,0.5374344155708958,0.0,0.0
44682,30966,KCg-m,KCg-m_L,gamma,1,2,38,37.38070128537588,0.0,-0.004175126552581787,-0.0046901702880859375
44748,31024,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,0,0.0,1.0,0.0,0.0
44766,31038,KCg-m,KCg-m_R,gamma,1,3,70,68.15404820099388,0.0035974043209286775,0.0054152607917785645,0.0032922029495239258
44820,31088,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
44840,31104,KCg-m,KCg-m_R,gamma,1,2,42,40.899648028853406,0.0,-0.0057146549224853516,-0.007624685764312744
44848,31110,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
44850,31112,KCg-s3,KCg-s3_L,gamma,1,2,29,28.927863664810523,0.6838488084418003,-0.0004611015319824219,-0.0005730390548706055
44940,31189,KCg-m,KCg-m_R,gamma,1,2,0,0.0,1.0,0.0,0.0
44948,31197,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
45016,31256,KCg-m,KCg-m_R,gamma,1,2,36,35.131623551431886,0.0,-0.01057136058807373,-0.011349678039550781
45032,31272,KCab-s,KCab-s_R,ab,1,0,1,1.0,0.7496544270616714,-0.002161562442779541,-0.002161562442779541
45060,31299,KCg-m,KCg-m_R,gamma,1,2,10,9.67995691734552,0.0,0.004578292369842529,0.004083573818206787
45066,31304,KCa'b'-ap2,KCa'b'-ap2_L,apbp,1,0,0,0.0,1.0,0.0,0.0
45183,31397,KCg-m,KCg-m_R,gamma,1,2,11,10.621168888225048,0.0,-8.26716423034668e-05,-0.0005789399147033691
45199,31411,KCg-m,KCg-m_L,gamma,1,2,29,27.829374697979375,0.0,-0.0027229785919189453,-0.0049152374267578125
45259,31463,KCg-m,KCg-m_L,gamma,1,2,39,38.49791298150896,0.5048767726837486,-0.007877171039581299,-0.008290410041809082
45266,31469,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,0,0.0,1.0,0.0,0.0
45380,31565,KCg-m,KCg-m_L,gamma,1,2,17,16.188002958036027,0.0,0.0028477907180786133,0.0014962553977966309
45388,31572,KCa'b'-ap1,KCa'b'-ap1_R,apbp,0,0,6,5.887339880569226,0.7343428441447357,0.0,0.0
45392,31576,KCg-m,KCg-m_R,gamma,2,2,52,50.811454117521535,0.0,-0.022713303565979004,-0.025165438652038574
45434,31615,KCg-m,KCg-m_L,gamma,1,2,9,8.591320247895911,0.0,0.0014383196830749512,0.0005366206169128418
45460,31640,KCg-m,KCg-m_L,gamma,1,3,40,39.284228597959654,0.0,-3.790855407714844e-05,-0.0011767745018005371
45467,31647,KCg-m,KCg-m_L,gamma,1,2,203,200.80608461962612,0.21257051148544656,-0.021155118942260742,-0.02392566204071045
45512,31686,KCg-m,KCg-m_R,gamma,1,2,0,0.0,1.0,0.0,0.0
45529,31701,KCab-s,KCab-s_R,ab,1,0,3,3.0,0.45682386111274137,-0.0036121606826782227,-0.0036121606826782227
45553,31724,KCg-m,KCg-m_R,gamma,1,3,36,34.30779422903445,0.029059417217248383,0.006798803806304932,0.003983616828918457
45563,31732,KCg-m,KCg-m_R,gamma,1,2,62,61.0048679038919,0.26542482549725527,0.006809711456298828,0.005308330059051514
45612,31774,KCg-m,KCg-m_R,gamma,1,2,32,31.019589210677513,0.0,-0.0057852864265441895,-0.007023990154266357
45620,31781,KCg-m,KCg-m_L,gamma,1,2,19,18.75802745296218,0.0,-0.005176246166229248,-0.005463123321533203
45663,31819,KCg-m,KCg-m_R,gamma,1,2,118,115.83431346335814,0.0,0.0059320926666259766,0.0032075047492980957
45721,31873,KCab-s,KCab-s_R,ab,1,0,2,2.0,0.7235809902450362,0.0013270378112792969,0.0013270378112792969
45736,31884,KCg-m,KCg-m_R,gamma,1,2,81,79.13022851354066,0.0,-0.002498626708984375,-0.005323231220245361
45761,31906,KCg-m,KCg-m_R,gamma,1,2,41,39.908449262806506,0.0,0.00023949146270751953,-0.0014423727989196777
45807,31943,KCa'b'-m,KCa'b'-m_L,apbp,0,0,1,1.0,0.6364257751543273,0.0,0.0
45881,32010,KCg-m,KCg-m_R,gamma,1,2,23,21.841776651752895,0.0,-0.0006995797157287598,-0.0021016597747802734
45950,32071,KCg-m,KCg-m_L,gamma,1,2,29,28.35624082706685,0.0,0.0004240274429321289,-0.00011670589447021484
46056,32169,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,0,0.0,1.0,0.0,0.0
46118,32220,KCa'b'-ap1,KCa'b'-ap1_R,apbp,2,0,0,0.0,1.0,0.0,0.0
46195,32292,KCg-m,KCg-m_R,gamma,1,2,0,0.0,1.0,0.0,0.0
46196,32293,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
46266,32356,KCg-m,KCg-m_R,gamma,1,2,224,220.64044107337972,0.0,0.001235365867614746,-0.0028725266456604004
46287,32375,KCg-m,KCg-m_R,gamma,1,2,85,82.93557511760507,0.009582099533368516,-0.011767208576202393,-0.014646172523498535
46398,32469,KCab-p,KCab-p_R,ab,1,0,0,0.0,1.0,0.0,0.0
46400,32471,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,0,0.0,1.0,0.0,0.0
46425,32492,KCa'b'-m,KCa'b'-m_R,apbp,2,0,0,0.0,1.0,0.0,0.0
46457,32518,KCg-m,KCg-m_R,gamma,1,3,88,86.30522876760669,0.0,-0.010178864002227783,-0.012025415897369385
46463,32523,KCg-m,KCg-m_R,gamma,1,2,9,8.417210425941903,0.0,0.002273738384246826,0.0012581944465637207
46475,32534,KCg-m,KCg-m_R,gamma,1,3,5,4.629727488691215,0.0,0.005161404609680176,0.003917098045349121
46497,32553,KCg-m,KCg-m_L,gamma,1,2,42,41.114626828804326,0.0,0.007218122482299805,0.005981802940368652
46566,32616,KCa'b'-ap2,KCa'b'-ap2_L,apbp,0,0,0,0.0,1.0,0.0,0.0
46592,32639,KCab-s,KCab-s_R,ab,2,0,8,7.963050513609302,0.8397282474102417,-0.001370549201965332,-0.0014518499374389648
46631,32674,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
46670,32708,KCg-m,KCg-m_R,gamma,1,2,175,171.8044036541768,0.0,0.00454026460647583,0.0008439421653747559
